shop_name,review_text,cleaned_text
オールデイダイニング グランドエール(ヴィラフォンテーヌ グランド 東京有明),こちらの入っているホテルへ宿泊し、朝食をいただきました。お目当てはもちろん、海鮮ビュッフェで作る『勝手丼』朝からイクラやマグロ、サーモン、いか、ホタテ、まぐろのたたき、コハダ、甘海老、しらす、...,の入ってホテルへ宿泊し、朝食をいただきました。お目当てはもちろん、海鮮ビュッフェで作る『勝手丼』朝からイクラやマグロ、サーモン、いか、ホタテ、まぐろのたたき、コハダ、甘海老、しらす、
オールデイダイニング グランドエール(ヴィラフォンテーヌ グランド 東京有明),ひろくてゆったりできる店内！子供にとても優しくて、ビュッフェとは別にお子様メニューがあるし、飲み物もオーガニックのスムージーが選べてとてもいい！エビフライ、からあげ、ハンバーグ、ポテト、カレー...,ひろくてゆったりできる！子供にとても優しくて、ビュッフェとは別にお子様がし、飲み物もオーガニックのスムージーが選べてとてもいい！エビフライ、からあげ、ハンバーグ、ポテト、カレー
オールデイダイニング グランドエール(ヴィラフォンテーヌ グランド 東京有明),生まれて初めてはとバスに乗りました。団体行動が苦手ですが、ちゃんと時間を守ることに徹します。さて、ツアー一発目はのっけからホテルでご飯。他団体客もいたので、食べたいものより...,生まれて初めてはとバスに乗りました。団体行動が苦手ですが、ちゃんとを守るに徹します。さて、ツアー一発目はのっけからホテルで。他団体客もいたので、食べたいより
オールデイダイニング グランドエール(ヴィラフォンテーヌ グランド 東京有明),もちろん美味しい料理もあったけど、満足感が極めて低いビュッフェだった良く言えば、ファミリー層向けというか万人向けの味付けという感じ個人的にらメインっぽいものが美味しくない上、海鮮丼的な...,もちろんもあったけど、が極めて低いビュッフェだった良く言えば、ファミリー層向けというか万向けの味付けという感じ個人にらメインっぽいが美味しく上、海鮮丼な
オールデイダイニング グランドエール(ヴィラフォンテーヌ グランド 東京有明),このお値段でこんなに食べれるのは最高ですが、11時30分から14時まででちょっと時間が短いのが残念。もう少しゆっくり食べたかった。料理はどれも美味しかったです。最初に飛びついたの海鮮丼です。デザートは...,このお値段でこんなに食べれるのはですが、1130から14まででが短いのが残念。もう少しゆっくり食べたかった。はどれも美味しかったです。最初に飛びついたの海鮮丼です。は
オールデイダイニング グランドエール(ヴィラフォンテーヌ グランド 東京有明),ランチビュッフェ3500円。ハワイアンフェアーということでハワイ料理メインで楽しめます。種類は豊富で全て制覇してもかなり満腹。ただ味についてはどちらかというとチープ。値段には合ってない...,ランチビュッフェ3500。ハワイアンフェアーというでハワイメインで楽しめます。はで全て制覇しても満腹。ただ味についてはどちらかというとチープ。値段には合って
オールデイダイニング グランドエール(ヴィラフォンテーヌ グランド 東京有明),隣のライブ会場でアーティストのライブがあったので、ゆっくり食事したくて行きました。平日という事もあり、店内はそんなに混雑しておらず、お子様連れのお客さんが多かったです。子ども用の食器も複数種類用意...,隣のライブ会場でアーティストのライブがあったので、ゆっくりしたくて行きました。平日という事もあり、はそんなに混雑しておらず、お子様連れのお客が多かったです。子ども用の食器も複数用意
オールデイダイニング グランドエール(ヴィラフォンテーヌ グランド 東京有明),【訪問日時】2024年7月（土曜）、午前11時半頃【訪問人数、予約有無】2人、予約なし※1名未就学児【座席】テーブル【支払い】こうとう商店街DEお買い物券+...,【日時】2024年7月（土曜）、午前11時半頃【人数、有無】2、なし※1名未就学児【座席】【支払い】こうとう商店街DEお買い物券+...
オールデイダイニング グランドエール(ヴィラフォンテーヌ グランド 東京有明),有明ガーデンに隣接しているヴィラフォンテーヌのホテルビュッフェです。子連れ、ベビーカーでも利用しやすく、ファミリーでの利用にオススメです。座席数も多く、様々な料理が楽しめます。この日は...,有明ガーデンに隣接してヴィラフォンテーヌのホテルビュッフェです。子連れ、ベビーカーでもしやすく、ファミリーでのにオススメです。座席数も多く、様々なが楽しめます。このは
オールデイダイニング グランドエール(ヴィラフォンテーヌ グランド 東京有明),ハワイアンフェアを開催していて、ココナッツパンケーキを食べることができました！ココナッツの風味が存分に感じられて美味しかったです。そのほかスペアリブやハワイアンヌードル？なども美味しくて、お腹...,ハワイアンフェアを開催していて、ココナッツパンケーキをができました！ココナッツの風味が存分に感じられて美味しかったです。そのほかスペアリブやハワイアンヌードル？なども美味しくて、お腹
オールデイダイニング グランドエール(ヴィラフォンテーヌ グランド 東京有明),ハワイアンビュッフェをいただきました。どれも美味しかったですが、特にパンケーキがとても美味しくおかわりまでいただきました。幅広い料理があり、時間制限についての言及もなく、子ども無料なのも良かったです。,ハワイアンビュッフェをいただきました。どれも美味しかったですが、特にパンケーキがとても美味しくおかわりまでいただきました。幅広いがあり、制限についての言及もなく、子ども無料なのも良かったです。
オールデイダイニング グランドエール(ヴィラフォンテーヌ グランド 東京有明),開店前に並んでいましたが、店員さんの手際の良さで、すんなり案内してもらえました。席もたくさんあり、ゆったりしていて居心地がとてもよかった。ランチなら十分過ぎる種類があり、食事を堪能しました。特...,開店前に並んでいましたが、の手際の良さで、すんなり案内してもらえました。もあり、ゆったりしていて居心地がとてもよかった。ランチなら十分過ぎるがあり、を堪能しました。特
オールデイダイニング グランドエール(ヴィラフォンテーヌ グランド 東京有明),羽田空港第3ターミナル内にある羽田エアポートガーデン、ヴィラフォンテーヌグランド羽田空港のオールデイダイニング グランドエール️プライオリティパス保有者はランチビュッフェを無料で頂かことが出来...,羽田空港第3ターミナル内に羽田エアポートガーデン、ヴィラフォンテーヌグランド羽田空港のオールデイダイニング グランドエール️プライオリティパス保有者はランチビュッフェを無料で頂かが出来
オールデイダイニング グランドエール(ヴィラフォンテーヌ グランド 東京有明),ランチは3500円ですが、公式アプリの提示で3150円になります！値段からしても、種類と料理の質は妥当かなと思います。欲を言えば、サラダの種類がもう少し多い方が嬉しいです♪スタッフの方々も親切ですし、...,ランチは3500ですが、公式アプリの提示で3150になります！値段からしても、との質は妥当かなと思います。欲を言えば、サラダのがもう少し多い方が嬉しいです♪の方々も親切ですし、
オールデイダイニング グランドエール(ヴィラフォンテーヌ グランド 東京有明),ヴィラフォンテーヌホテルの2階。有明ガーデンシアターの向かいで便利です。GWにつき特別フェアで、大人4500円、小学生2250円、未就学児は無料でした。高い天井とガラス張りで解放感たっ...,ヴィラフォンテーヌホテルの2階。有明ガーデンシアターの向かいで便利です。GWにつき特別フェアで、大人4500、小学生2250、未就学児は無料でした。高い天井とガラス張りで解放たっ
オールデイダイニング グランドエール(ヴィラフォンテーヌ グランド 東京有明),平日月曜オープンに行きました。味は普通で品数も多くはないですが、お刺身が食べ放題なのは良かったです。全体的にホテルビッフェにしては値段が安いのと時間制限もないのでのんびり食べたい人には良い...,平日月曜オープンに行きました。味はで品数も多くはですが、お刺身が食べ放題なのは良かったです。全体にホテルビッフェにしては値段が安いのと制限ものでのんびり食べたいには
オールデイダイニング グランドエール(ヴィラフォンテーヌ グランド 東京有明),ここは、土日も平日も値段が変わらず、混んでなければ無制限！予約サイトでたまに割引をしており、そのタイミングで予約できたので、お得に利用できました！今回はアジアンフェアということで、...,ここは、土日も平日も値段が変わらず、混んでなければ無制限！サイトでたまに割引をしており、そのタイミングでできたので、お得にできました！はアジアンフェアというで、
オールデイダイニング グランドエール(ヴィラフォンテーヌ グランド 東京有明),ランチビュッフェ　3500円アジアンフェアの期間に伺いました。店内はきれいですし、席もゆったりしています。特に美味しかったもの。ポッサム（豚バラの蒸し料理）カレー...,ランチビュッフェ　3500アジアンフェアの期間に伺いました。はきれいですし、もゆったりしています。特に美味しかった。ポッサム（豚バラの蒸し）カレー
オールデイダイニング グランドエール(ヴィラフォンテーヌ グランド 東京有明),✳︎オールデイダイニング　グランドエール@有明ホテルにある、とても広くて光が差し込んで素敵なビュッフェ。時間無制限だからすごい！名物はその場で焼いてくれる焼き小籠包。アツアツで皮は厚め...,✳︎オールデイダイニング　グランドエール@有明ホテルに、とても広くて光が差し込んで素敵なビュッフェ。無制限だからすごい！名物はその場で焼いてくれる焼き小籠包。アツアツで皮は厚め
オールデイダイニング グランドエール(ヴィラフォンテーヌ グランド 東京有明),平日昼に行きました。今日はパスタは一種類でした。お味は、並べてあるスイーツ系はあんまり..でしたが、ご飯系は美味しかったです！海鮮丼が売りのようですが、酢飯は硬かったのが少し残念で...,平日昼に行きました。今日はパスタは一でした。お味は、並べてスイーツ系はあんまり..でしたが、系は美味しかったです！海鮮丼が売りのですが、酢飯は硬かったのが残念で
オールデイダイニング グランドエール(ヴィラフォンテーヌ グランド 東京有明),おはようございます。華僑の嫁です。毎回我が家で問題になるおせち問題！＃外国人家族あるある前回はポイントでおせちを購入するも、あまり食べる人がいなく今回はブッフェでおせちを堪...,おはようございます。華僑の嫁です。毎回我が家で問題におせち問題！＃外国家族はポイントでおせちを購入も、あまりがいなくはブッフェでおせちを堪
オールデイダイニング グランドエール(ヴィラフォンテーヌ グランド 東京有明),訪問日○2023/12平日ディナーブュッフェホテルのブュッフェ、予約して行きました。ネットで予約できたので良いです◎18時だったので空いてました！店員さんも皆丁寧です◎...,○2023/12平日ディナーブュッフェホテルのブュッフェ、して行きました。ネットでできたのでです◎18だったので空いてました！も皆丁寧です◎
オールデイダイニング グランドエール(ヴィラフォンテーヌ グランド 東京有明),平日13時に電話予約して伺いました。レストランに着いたらお席は14時までとのこと。ビュッフェなので1時間半か2時間のお席だと思って予約したのに、予約時に知らされておらず、少し伸ばせないかと聞いても...,平日13に電話して伺いました。に着いたらおは14までとの。ビュッフェなので1半か2のおだと思ってしたのに、に知らされておらず、伸ばせかと聞いても
オールデイダイニング グランドエール(ヴィラフォンテーヌ グランド 東京有明),とても洗礼された空間で、優雅なひとときを過ごせました。料理もとても美味しく、焼き小龍包は直前に焼いてくださるパフォーマンス付きでした。刺身はそんなに?普通かな。スタッフさんがあまり連携取れてな...,とても洗礼された空間で、優雅なひとときを過ごせました。もとても美味しく、焼き小龍包は直前に焼いてくださるパフォーマンス付きでした。刺身はそんなに?かな。があまり連携取れてな
オールデイダイニング グランドエール(ヴィラフォンテーヌ グランド 東京有明),東京ビッグサイトからは徒歩10分程。東京ビッグサイトのイベントに参加した際のランチで利用しました。店内は天井が広く、窓も大きいので開放感があり雰囲気も良かったです。中華フェアという事で、中華料...,東京ビッグサイトからは徒歩10程。東京ビッグサイトのイベントに参加した際のランチでしました。は天井が広く、窓も大きいので開放がありも良かったです。中華フェアという事で、中華料
オールデイダイニング グランドエール(ヴィラフォンテーヌ グランド 東京有明),前々から海鮮食べ放題なのは知ってはいましたが、行けてなくようやく行けました！ですが、前まで2500円だったのですが3500円に値上げしてました。感想としては、海鮮食べ放題が売りなので他には...,前々から海鮮食べ放題なのは知ってはいましたが、行けてなくようやく行けました！ですが、前まで2500だったのですが3500に値上げしてました。感想としては、海鮮食べ放題が売りなので他には
オールデイダイニング グランドエール(ヴィラフォンテーヌ グランド 東京有明),本日はヴィラフォンテーヌホテル有明のレストランでビュッフェを♪天井が高くて、お外の景色（電車）を見ながら食べられます。品数は少なめですが、お料理のクウォリティは高くてよかったです♪...,本日はヴィラフォンテーヌホテル有明のでビュッフェを♪天井が高くて、お外の景色（電車）を見ながら食べられます。品数は少なめですが、おのクウォリティは高くてよかったです♪...
オールデイダイニング グランドエール(ヴィラフォンテーヌ グランド 東京有明),ホテルヴィラフォンテーヌの中にあるホテルビュッフェです。車で行ったので駐車場は有明ガーデンに停めました。駐車場が広くてホテルまで辿り着くのがわかりにくかったです。平日ディナービュッフェ4500円！...,ホテルヴィラフォンテーヌの中にホテルビュッフェです。車で行ったので駐車場は有明ガーデンに停めました。駐車場が広くてホテルまで辿り着くのがわかりにくかったです。平日ディナービュッフェ4500！
オールデイダイニング グランドエール(ヴィラフォンテーヌ グランド 東京有明),4000円×2人ランチビュッフェを利用しました接客は丁寧で優しくて良かったです。ご飯の味が……全然美味しくなかったサラダのレタスはフレッシュさ皆無。勝手丼の魚も新鮮じゃなさ...,4000×2ランチビュッフェをしました接客は丁寧で優しくて良かったです。の味が……全然美味しくなかったサラダのレタスはフレッシュさ皆無。勝手丼のも新鮮じゃなさ
オールデイダイニング グランドエール(ヴィラフォンテーヌ グランド 東京有明),久しぶりに行ったらブッフェ内容が若干しょぼくなり、3500円/人に値上がりしていました。未就学児無料だったり、離乳食があってキッズフレンドリーなのは変わらずですが、この内容で家族で7000円だとちょっ...,久しぶりに行ったらブッフェ内容が若干しょぼくなり、3500/に値上がりしていました。未就学児無料だったり、離乳食があってキッズフレンドリーなのは変わらずですが、この内容で家族で7000だとちょっ
オールデイダイニング グランドエール(ヴィラフォンテーヌ グランド 東京有明),食べ放題でいただきました有明コロシアムのすぐ傍にありコロシアムに用事のある方にはオススメです様々な食材がありますがお刺身が食べ放題にあり自分で海鮮丼を作れるのがよかった...,食べ放題でいただきました有明コロシアムのすぐ傍にありコロシアムに用事の方にはオススメです様々な食材がありますがお刺身が食べ放題にありで海鮮丼を作れるのがよかった
オールデイダイニング グランドエール(ヴィラフォンテーヌ グランド 東京有明),ランチビュッフェ/2500円…綺麗、予約可能、ほぼ100%子連れ、離乳食、キッズメニューあり(写真参考)、未就学児無料なので大人2人で5000円→これだけで駐車料金3時間無料、隣の有明ガーデンでお...,ランチビュッフェ/2500…綺麗、可能、ほぼ100%子連れ、離乳食、キッズメニューあり(写真参考)、未就学児無料なので大人2で5000→だけで駐車料金3無料、隣の有明ガーデンでお
オールデイダイニング グランドエール(ヴィラフォンテーヌ グランド 東京有明),とても綺麗で雰囲気もいいです。お料理は美味しかったです。海鮮丼を作れるコーナーもありました。デザートも豊富です。ドリンクバーのジュースが切れかけてたのかメロンソーダを入れたら緑だけど味...,とても綺麗でもいいです。おは美味しかったです。海鮮丼を作れるコーナーもありました。もです。バーのジュースが切れかけてたのかメロンソーダを入れたら緑だけど味
オールデイダイニング グランドエール(ヴィラフォンテーヌ グランド 東京有明),女子会で利用ー！雰囲気よくて、おしゃれで、美味しいビュッフェでした(*^^*)丼物が美味しかったなー！あとマンゴーのロールケーキも。もっとお肉系があってもよかったけど、海鮮があったので...,女子会でー！よくて、おしゃれで、ビュッフェでした(*^^*)丼物が美味しかったなー！あとマンゴーのロールケーキも。もっとお系があってもよかったけど、海鮮があったので
オールデイダイニング グランドエール(ヴィラフォンテーヌ グランド 東京有明),ホテルヴィラフォンテーヌグランド東京有明に宿泊し際に利用したビュッフェレストランです。駐車場があり家から15分くらいということで直前予約でかなり安かったのでノリで行きました笑ビュッフェ...,ホテルヴィラフォンテーヌグランド東京有明に宿泊し際にしたビュッフェです。駐車場があり家から15くらいというで直前で安かったのでノリで行きました笑ビュッフェ
オールデイダイニング グランドエール(ヴィラフォンテーヌ グランド 東京有明),誕生日祝いに友人と行きました。素敵なホテル内にあって、高級感ある中で食事ができました。品数は多いというほどではなかったですか、どれも美味しく頂けました。メインは自分で作れる海鮮丼かな？酢飯...,誕生祝いに友人と行きました。素敵なホテル内にあって、高級中でができました。品数は多いというほどではなかったですか、どれも美味しく頂けました。メインはで作れる海鮮丼かな？酢飯
オールデイダイニング グランドエール(ヴィラフォンテーヌ グランド 東京有明),12時過ぎに有明に到着。ヴィラフォンティーヌホテルの2Fに行きたいのに入り口が分かりづらかった。レストランは広いけど縦長の作り、案内された席から遥か遠くに料理台が見えた。全面ガラス張りで開放感がありス...,12過ぎに有明に到着。ヴィラフォンティーヌホテルの2Fに行きたいのに入り口が分かりづらかった。は広いけど縦長の作り、案内されたから遥か遠くに台が見えた。全面ガラス張りで開放がありス
オールデイダイニング グランドエール(ヴィラフォンテーヌ グランド 東京有明),勝手丼がつくれるのがいいですねこればかり食べてお腹いっぱいになりましたみんな美味しいけど印象深いのは勝手丼ですお味噌汁美味しかったな肉は柔らかかったですデザートチーズケーキ...,勝手丼がつくれるのがいいですねばかり食べてお腹いっぱいになりましたみんなけど印象深いのは勝手丼ですお味噌汁美味しかったなは柔らかかったですデザートチーズケーキ
オールデイダイニング グランドエール(ヴィラフォンテーヌ グランド 東京有明),有明ガーデン内のホテルブュフェ！事前に予約を入れたかったけど、当日の来店時間の予定がつかず、直接来店。初めての場所で、建物の案内がわかりずらくちょっと迷って、インフォメーションで確認。...,有明ガーデン内のホテルブュフェ！事前にを入れたかったけど、当日の来店の予定がつかず、直接来店。初めてので、建物の案内がわかりずらく迷って、インフォメーションで確認。
オールデイダイニング グランドエール(ヴィラフォンテーヌ グランド 東京有明),最近オープンした有明ガーデンの中にあるホテルフォンティーヌの中にあるレストランに来てみました。ランチタイム及びディナータイムはバイキングが開催されており、割引料金が適用され、さらにファーストドリン...,最近オープンした有明ガーデンの中にホテルフォンティーヌの中にに来てみました。ランチタイム及びディナータイムはバイキングが開催されており、割引料金が適用され、さらにファーストドリン
オールデイダイニング グランドエール(ヴィラフォンテーヌ グランド 東京有明),あなたは、全面ガラス張りの景色が綺麗なレストランで、窓に面したソファつきのテーブル席に案内されて、「よっしゃ！！じゃあ、窓に背を向けて、ソファの背もたれの模様を見ながら食事しよう！！」って・・...,あなたは、全面ガラス張りの景色が綺麗なで、窓に面したソファつきのに案内されて、「よっしゃ！！じゃあ、窓に背を向けて、ソファの背もたれの模様を見ながらしよう！！」って・・
オールデイダイニング グランドエール(ヴィラフォンテーヌ グランド 東京有明),(2021.01.07)昨日に続きホテルランチを楽しもうと、昨年8月に開業したヴィラフォンテーヌグランド東京有明にある『オールデイダイニング グランドエール』へと向かいます実は昨年末にもお邪魔...,(2021.01.07)昨日に続きホテルランチを楽しもうと、昨年8月に開業したヴィラフォンテーヌグランド東京有明に『オールデイダイニング グランドエール』へと向かいます実は昨年末にもお邪魔
オールデイダイニング グランドエール(ヴィラフォンテーヌ グランド 東京有明),ホテル ヴィラフォンテーヌグランド東京有明内のお店ホテルに行く機会がありビュッフェをいただきました。雰囲気◎新しいホテルでとても綺麗でオシャレです。接客はとても丁寧で常に気遣いを感...,ホテル ヴィラフォンテーヌグランド東京有明内のお店ホテルに機会がありビュッフェをいただきました。◎新しいホテルでとても綺麗でオシャレです。接客はとても丁寧で常に気遣いを
オールデイダイニング グランドエール(ヴィラフォンテーヌ グランド 東京有明),有明にある「オールデイダイニング グランドエール」さんを訪問。過去に訪問したログになります。ここのバイキングは、有明ガーデンに併設された住友不動産のホテル「ヴィラフォンテーヌ」さんのメイン...,有明に「オールデイダイニング グランドエール」を。過去にしたログになります。ここのバイキングは、有明ガーデンに併設された住友不動産のホテル「ヴィラフォンテーヌ」のメイン
オールデイダイニング グランドエール(ヴィラフォンテーヌ グランド 東京有明),オールデイダイニング「グランドエール」は、有明にある洗練されたレストランです。朝食、ランチ、ディナーを提供し、様々な料理が楽しめます。モダンなインテリアと落ち着いた雰囲気の中、季節の旬の食材を活かした...,オールデイダイニング「グランドエール」は、有明に洗練されたです。朝食、ランチ、ディナーを提供し、様々なが楽しめます。モダンなインテリアと落ち着いたの中、季節の旬の食材を活かした
オールデイダイニング グランドエール(ヴィラフォンテーヌ グランド 東京有明),ビュッフェが美味しすぎました！シーズン毎に出る料理が違うようで、ステーキや和洋中のビュッフェが食べれたのですが、料理はどれも美味しくステーキだけでなくお刺身も食べれたり、ビュッフェだとどう...,ビュッフェが美味しすぎました！シーズン毎にが違うで、ステーキや和洋中のビュッフェが食べれたのですが、はどれも美味しくステーキだけでなくお刺身も食べれたり、ビュッフェだとどう
オールデイダイニング グランドエール(ヴィラフォンテーヌ グランド 東京有明),ランチ利用でした。最低限のクオリティではありましたが再来はない感じです。ポイントとなる肉系が冷凍ハンバーグ的なものしかないのは残念でした。接客サービスは素晴らしいので、フードクオリティをあ...,ランチでした。最低限のクオリティではありましたが再来は感じです。ポイントと系が冷凍ハンバーグなしかのは残念でした。接客サービスは素晴らしいので、フードクオリティをあ
オールデイダイニング グランドエール(ヴィラフォンテーヌ グランド 東京有明),海鮮丼は具だけで食べてもおいしかったです。基本団体客で混雑しているみたいです。味はまあまあ良かったですが特別良かった!という印象もなく品数このぐらいで3500円かと思うとちょっと高いなという気...,海鮮丼は具だけで食べてもおいしかったです。基本団体客で混雑してみたいです。味はまあまあ良かったですが特別良かった!という印象もなく品数このぐらいで3500かとと高いなという
オールデイダイニング グランドエール(ヴィラフォンテーヌ グランド 東京有明),ディナー、ランチともに利用しました。連れが足が悪くて取りに行けないので私が行くしかなく、少し離れた席だったので、何度も何度も往復することになり大変でした。LIVEビュッフェは牛ステーキでした。まぁ...,ディナー、ランチともにしました。連れが足が悪くて取りに行けのでがしかなく、離れただったので、何度も何度も往復になり大変でした。LIVEビュッフェは牛ステーキでした。まぁ
